Date : 2024-03-21 22:50:23
Directory : c:\Users\Long To\Documents\react-proj\score
Total : 130 files,  10595 codes, 106 comments, 1117 blanks, all 11818 lines

Languages
+----------------+------------+------------+------------+------------+------------+
| language       | files      | code       | comment    | blank      | total      |
| c:\Users\Long To\Documents\react-proj\score\client\tailwind.config.js                              | JavaScript     |         25 |          1 |          3 |         29 |
| c:\Users\Long To\Documents\react-proj\score\details.md                                             | Markdown       |        134 |          0 |          5 |        139 |
| c:\Users\Long To\Documents\react-proj\score\results.md                                             | Markdown       |         56 |          0 |          6 |         62 |
| c:\Users\Long To\Documents\react-proj\score\server\package.json                                    | JSON           |         20 |          0 |          1 |         21 |
| c:\Users\Long To\Documents\react-proj\score\server\src\connect.js                                  | JavaScript     |          7 |          0 |          4 |         11 |
| c:\Users\Long To\Documents\react-proj\score\server\src\controllers\detail.js                       | JavaScript     |         20 |          0 |          7 |         27 |
| c:\Users\Long To\Documents\react-proj\score\server\src\controllers\search.js                       | JavaScript     |         28 |          0 |          8 |         36 |
| c:\Users\Long To\Documents\react-proj\score\server\src\controllers\suggest.js                      | JavaScript     |         29 |          0 |          5 |         34 |
| c:\Users\Long To\Documents\react-proj\score\server\src\controllers\trackGet.js                     | JavaScript     |         11 |          0 |          2 |         13 |
| c:\Users\Long To\Documents\react-proj\score\server\src\controllers\trackPost.js                    | JavaScript     |         15 |          0 |          2 |         17 |
| c:\Users\Long To\Documents\react-proj\score\server\src\controllers\trackPut.js                     | JavaScript     |         14 |          1 |          3 |         18 |
| c:\Users\Long To\Documents\react-proj\score\server\src\controllers\visualArea.js                   | JavaScript     |         23 |          0 |          5 |         28 |
| c:\Users\Long To\Documents\react-proj\score\server\src\controllers\visualAreaAll.js                | JavaScript     |         22 |          0 |          5 |         27 |
| c:\Users\Long To\Documents\react-proj\score\server\src\controllers\visualCompete.js                | JavaScript     |         21 |          0 |          5 |         26 |
| c:\Users\Long To\Documents\react-proj\score\server\src\controllers\visualGroup.js                  | JavaScript     |         28 |          0 |          5 |         33 |
| c:\Users\Long To\Documents\react-proj\score\server\src\controllers\visualSpecial.js                | JavaScript     |         23 |          0 |          5 |         28 |
| c:\Users\Long To\Documents\react-proj\score\server\src\controllers\visualYear.js                   | JavaScript     |         21 |          0 |          5 |         26 |
| c:\Users\Long To\Documents\react-proj\score\server\src\index.js                                    | JavaScript     |         39 |          0 |          6 |         45 |
| c:\Users\Long To\Documents\react-proj\score\server\src\routes\detail.js                            | JavaScript     |          5 |          0 |          3 |          8 |
| c:\Users\Long To\Documents\react-proj\score\server\src\routes\search.js                            | JavaScript     |          5 |          0 |          3 |          8 |
| c:\Users\Long To\Documents\react-proj\score\server\src\routes\suggest.js                           | JavaScript     |          5 |          0 |          4 |          9 |
| c:\Users\Long To\Documents\react-proj\score\server\src\routes\track.js                             | JavaScript     |          9 |          0 |          3 |         12 |
| c:\Users\Long To\Documents\react-proj\score\server\src\routes\visual.js                            | JavaScript     |         15 |          0 |          3 |         18 |
| c:\Users\Long To\Documents\react-proj\score\server\src\utils\lists.js                              | JavaScript     |         32 |          1 |          4 |         37 |
| c:\Users\Long To\Documents\react-proj\score\server\vercel.json                                     | JSON           |         15 |          0 |          0 |         15 |
| Total                                                                                              |                |     10,595 |        106 |      1,117 |     11,818 |
+----------------------------------------------------------------------------------------------------+----------------+------------+------------+------------+------------+
